dataset,omitted_detector,method,m,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
ADBench Mammography (binary stress test),Local outlier factor,Best-rank fusion,260,0.2000521984236076,0.0017569989386320532,0.19829519948497557,0.14995544995544996,0.20064613131078388,5049.0,569831.0,2873650,0.20242396073211782,0.1302957377008789,0.255798719258799,0.2754401629677515,0.15826554669325021,0.15826554669325021,0.8056796174620948,0.21923076923076923,0.21923076923076923,0.21923076923076923,0.21923076923076923
ADBench Mammography (binary stress test),kNN distance,Borda mean rank,260,0.22300210533641884,0.0013575070032885007,0.22164459833313033,0.11585981585981586,0.22427235403066217,3901.0,636929.0,2873650,0.22564595525320602,0.14178443924357498,0.19083191317339854,0.2967504753560904,0.1861695545083776,0.1861695545083776,0.8326326241734097,0.2423076923076923,0.2423076923076923,0.2423076923076923,0.2423076923076923
ADBench Mammography (binary stress test),kNN distance,Median rank,260,0.2158133384371792,0.0019518730534337863,0.2138614653837454,0.1665874665874666,0.21639694645736943,5609.0,614563.0,2873650,0.21837196036591808,0.1506663975417704,0.2774421402835774,0.3036492012696374,0.21325708219630596,0.21325708219630596,0.853470094859823,0.23461538461538461,0.23461538461538461,0.23461538461538461,0.23461538461538461
ADBench Mammography (binary stress test),kNN distance,Reciprocal-rank fusion,260,0.2198354009708907,0.0020823691124528037,0.21775303185843786,0.17772497772497772,0.2203346502440158,5984.0,625746.0,2873650,0.22244170733596716,0.13882438683293233,0.294334782267266,0.30234643405094835,0.18976346919184164,0.18976346919184164,0.8256882090718948,0.23846153846153847,0.23846153846153847,0.23846153846153847,0.23846153846153847
ADBench Mammography (binary stress test),kNN distance,Rank product,260,0.2466271118612218,0.001633114679936666,0.24499399718128512,0.13938223938223937,0.2478985767505405,4693.0,704027.0,2873650,0.24955105317643084,0.14273510205510578,0.2227859338154133,0.32325561932802255,0.20138737568816753,0.20138737568816753,0.8348629215698702,0.2653846153846154,0.2653846153846154,0.2653846153846154,0.2653846153846154
ADBench Mammography (binary stress test),kNN distance,Best-rank fusion,260,0.19580394272092982,0.0014003097106467385,0.1944036330102831,0.11951291951291951,0.1967084275241375,4024.0,558648.0,2873650,0.1981253389108374,0.1287091484080636,0.20517635803293033,0.2621880125919786,0.1409856735056565,0.1409856735056565,0.8019574081507617,0.2153846153846154,0.2153846153846154,0.2153846153846154,0.2153846153846154
ADBench Mammography (binary stress test),PCA reconstruction,Borda mean rank,260,0.25470673185669795,0.0019296017260278739,0.25277713013067005,0.16468666468666468,0.25577398432383325,5545.0,726393.0,2873650,0.2577264628624146,0.15320635124551776,0.2608674637539051,0.3347971984459498,0.23150697746220367,0.23150697746220367,0.85942893964042,0.27307692307692305,0.27307692307692305,0.27307692307692305,0.27307692307692305
ADBench Mammography (binary stress test),PCA reconstruction,Median rank,260,0.2157291249804256,0.0018676595966801803,0.2138614653837454,0.1594000594000594,0.21639694645736943,5367.0,614563.0,2873650,0.21828674849822885,0.1516755950069951,0.26547191422748434,0.2896150092288045,0.19537511588992065,0.19537511588992065,0.8558377171670224,0.23461538461538461,0.23461538461538461,0.23461538461538461,0.23461538461538461
ADBench Mammography (binary stress test),PCA reconstruction,Reciprocal-rank fusion,260,0.23106154194143336,0.0016338106589181007,0.22942773128251526,0.13944163944163945,0.23214776160395495,4695.0,659295.0,2873650,0.23380094226015674,0.14731161144083316,0.22726892327259135,0.31036391055383217,0.19592010622259548,0.19592010622259548,0.8455996168987104,0.25,0.25,0.25,0.25
ADBench Mammography (binary stress test),PCA reconstruction,Rank product,260,0.2542933203417257,0.001516190211055626,0.25277713013067005,0.1294030294030294,0.25577398432383325,4357.0,726393.0,2873650,0.25730815005739477,0.14979948431167853,0.20497737413449316,0.32716110674345383,0.2082563990520834,0.2082563990520834,0.8514362777202659,0.27307692307692305,0.27307692307692305,0.27307692307692305,0.27307692307692305
ADBench Mammography (binary stress test),PCA reconstruction,Best-rank fusion,260,0.183693908443965,0.0009649748577592956,0.1827289335862057,0.08235818235818236,0.18489531616419833,2773.0,525099.0,2873650,0.18587173149106684,0.14123661492054254,0.14427969110785507,0.23921043447780024,0.1390899100078133,0.1390899100078133,0.8313474038549568,0.20384615384615384,0.20384615384615384,0.20384615384615384,0.20384615384615384
ADBench Mammography (binary stress test),HBOS,Borda mean rank,260,0.21139526386303134,0.00142536495397839,0.20996989890905296,0.12165132165132166,0.21245924267072303,4096.0,603380.0,2873650,0.21390150634863625,0.14092788214452126,0.20377352900622572,0.2779811651645221,0.17254460710535535,0.17254460710535535,0.8306231029795983,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.23076923076923078
ADBench Mammography (binary stress test),HBOS,Median rank,260,0.24316252849163955,0.0020600977850468915,0.24110243070659265,0.17582417582417584,0.2439608729638941,5920.0,692844.0,2873650,0.24604539468587808,0.15075510005544498,0.28235473676079204,0.3132250944221015,0.20727170696492256,0.20727170696492256,0.8536781949168656,0.26153846153846155,0.26153846153846155,0.26153846153846155,0.26153846153846155
ADBench Mammography (binary stress test),HBOS,Reciprocal-rank fusion,260,0.22351852174064343,0.0018739234075130931,0.22164459833313033,0.15993465993465994,0.22427235403066217,5385.0,636929.0,2873650,0.22616849414432497,0.13869516032823892,0.26342728850006436,0.2930442664039622,0.17801739685407353,0.17801739685407353,0.8253850379228024,0.2423076923076923,0.2423076923076923,0.2423076923076923,0.2423076923076923
ADBench Mammography (binary stress test),HBOS,Rank product,260,0.23887460198701999,0.0016637377551197955,0.2372108642319002,0.141995841995842,0.24002316917724772,4781.0,681661.0,2873650,0.2417066317368432,0.14232505930153738,0.22912956449565863,0.30522434326894843,0.18745918086063404,0.18745918086063404,0.8339009429643872,0.25769230769230766,0.25769230769230766,0.25769230769230766,0.25769230769230766
ADBench Mammography (binary stress test),HBOS,Best-rank fusion,260,0.19159605379917527,0.0010839872635846398,0.19051206653559064,0.09251559251559252,0.1927707237374911,3115.0,547465.0,2873650,0.19386756244762288,0.12890036161013027,0.1598741386024848,0.2490408264376572,0.13253525270927138,0.13253525270927138,0.8024060028591751,0.21153846153846154,0.21153846153846154,0.21153846153846154,0.21153846153846154
ADBench Mammography (binary stress test),Robust diagonal distance,Borda mean rank,260,0.20814573799871244,0.0020674055643519567,0.2060783324343605,0.17644787644787646,0.20852153888407665,5941.0,592197.0,2873650,0.21061345502433115,0.14224821380745722,0.2973130414319521,0.29462423438986146,0.19997084487983374,0.19997084487983374,0.8337206600046478,0.22692307692307692,0.22692307692307692,0.22692307692307692,0.22692307692307692
ADBench Mammography (binary stress test),Robust diagonal distance,Median rank,260,0.2626130530857968,0.002052790005741827,0.260560263080055,0.17520047520047521,0.26364939189712605,5899.0,748759.0,2873650,0.26572651920083945,0.15217223903025928,0.27515322323614794,0.3470123895969341,0.2390753196625619,0.2390753196625619,0.8570028662173678,0.28076923076923077,0.28076923076923077,0.28076923076923077,0.28076923076923077
ADBench Mammography (binary stress test),Robust diagonal distance,Reciprocal-rank fusion,260,0.23949193534355262,0.002281071111652428,0.2372108642319002,0.19468369468369467,0.24002316917724772,6555.0,681661.0,2873650,0.24233128402312692,0.14124156785277817,0.31414856625581306,0.32436696234429974,0.21148009917162733,0.21148009917162733,0.8313590236550962,0.25769230769230766,0.25769230769230766,0.25769230769230766,0.25769230769230766
ADBench Mammography (binary stress test),Robust diagonal distance,Rank product,260,0.25854714387625494,0.001878447270892419,0.2566686966053625,0.1603207603207603,0.2597116881104797,5398.0,737576.0,2873650,0.26161240572116706,0.14482448901426592,0.25285185795710485,0.3383120782720157,0.21890502577876725,0.21890502577876725,0.8397647166529342,0.27692307692307694,0.27692307692307694,0.27692307692307694,0.27692307692307694
ADBench Mammography (binary stress test),Robust diagonal distance,Best-rank fusion,260,0.20361421885059072,0.0014274528909226942,0.20218676595966803,0.12182952182952184,0.20458383509743025,4102.0,581014.0,2873650,0.20602821146627795,0.130279678193327,0.20653060456862218,0.26855282430210387,0.146648395273403,0.146648395273403,0.8056419411404305,0.2230769230769231,0.2230769230769231,0.2230769230769231,0.2230769230769231
