dataset,method,kind,m,primary_depth,trc,within_component_over_total,boundary_component_over_total,within_pair_average,boundary_pair_average,within_numerator,boundary_numerator,comparable_pairs,oracle_normalized_trc,full_kendall_tau_b,top_only_kendall_tau_b,ndcg_at_m,ap_pathological,ap_abnormal,auc_pathological,precision_pathological_at_m,precision_abnormal_at_m,pathological_recall_at_m,abnormal_recall_at_m
ADBench Mammography (binary stress test),Base: Isolation forest,base,260,True,0.18432028952725626,0.0015913559410505804,0.1827289335862057,0.13581823581823582,0.18489531616419833,4573.0,525099.0,2873650,0.18650553877139978,0.15485027448118194,0.2379340163852222,0.2729313840123481,0.19912686932760976,0.19912686932760976,0.8632856569412461,0.20384615384615384,0.20384615384615384,0.20384615384615384,0.20384615384615384
ADBench Mammography (binary stress test),Base: Isolation forest,base,520,False,0.1435068753631354,0.001919819708787436,0.14158705565434795,0.08080628427449237,0.14503278771308406,10904.0,804172.0,5679700,0.287000612680371,0.15485027448118194,0.1551074300866781,0.35849500189439165,0.19912686932760976,0.19912686932760976,0.8632856569412461,0.16153846153846155,0.16153846153846155,0.3230769230769231,0.3230769230769231
ADBench Mammography (binary stress test),Base: Local outlier factor,base,130,False,0.3168407396516234,-0.0002283302485686115,0.317069069900192,-0.03935599284436494,0.3189193327255392,-330.0,458252.0,1445275,0.3224825526940331,0.12814736582145803,-0.058585055076253355,0.293759734774375,0.13852357054371592,0.13852357054371592,0.8006394411228249,0.3384615384615385,0.3384615384615385,0.16923076923076924,0.16923076923076924
ADBench Mammography (binary stress test),Base: Local outlier factor,base,260,True,0.21516120613157483,0.0012997407478294155,0.2138614653837454,0.11092961092961093,0.21639694645736943,3735.0,614563.0,2873650,0.21771209656406032,0.12814736582145803,0.18474708396490666,0.22881794574202333,0.13852357054371592,0.13852357054371592,0.8006394411228249,0.23461538461538461,0.23461538461538461,0.23461538461538461,0.23461538461538461
ADBench Mammography (binary stress test),Base: Local outlier factor,base,520,False,0.1422874447594063,0.002669331126644013,0.1396181136327623,0.11235363865421669,0.14301592855236295,15161.0,792989.0,5679700,0.28456186311171205,0.12814736582145803,0.21670939024451102,0.2899816622409049,0.13852357054371592,0.13852357054371592,0.8006394411228249,0.1596153846153846,0.1596153846153846,0.3192307692307692,0.3192307692307692
ADBench Mammography (binary stress test),Base: kNN distance,base,130,False,0.33291518915085366,0.00037086367646295686,0.33254432547439067,0.0639236732259988,0.334484894459562,536.0,480618.0,1445275,0.3388432312903612,0.1493648269857876,0.09416612458271482,0.34083170635963084,0.17664839542881716,0.17664839542881716,0.8504165522292411,0.35384615384615387,0.35384615384615387,0.17692307692307693,0.17692307692307693
ADBench Mammography (binary stress test),Base: kNN distance,base,260,True,0.2539919614427644,0.0012148313120943748,0.25277713013067005,0.10368280368280368,0.25577398432383325,3491.0,726393.0,2873650,0.2570032183325235,0.1493648269857876,0.16423594516950094,0.2812928515439464,0.17664839542881716,0.17664839542881716,0.8504165522292411,0.27307692307692305,0.27307692307692305,0.27307692307692305,0.27307692307692305
ADBench Mammography (binary stress test),Base: kNN distance,base,520,False,0.16599362642393084,0.002748208532140782,0.16324541789179006,0.11567363272565585,0.1672182384810163,15609.0,927185.0,5679700,0.3319720561412404,0.1493648269857876,0.21146985136486698,0.347162987100479,0.17664839542881716,0.17664839542881716,0.8504165522292411,0.18269230769230768,0.18269230769230768,0.36538461538461536,0.36538461538461536
ADBench Mammography (binary stress test),Base: PCA reconstruction,base,130,False,0.21017176661880957,0.0014294857380083375,0.20874228088080124,0.2463923673225999,0.2099604005873797,2066.0,301690.0,1445275,0.21391418249424293,0.051462466816811145,0.4119250056699202,0.31572231305749243,0.10507275145333747,0.10507275145333747,0.620733244600314,0.23076923076923078,0.23076923076923078,0.11538461538461539,0.11538461538461539
ADBench Mammography (binary stress test),Base: PCA reconstruction,base,260,True,0.11068014545960712,0.0018909748925582447,0.10878917056704887,0.1613899613899614,0.11007894421791703,5434.0,312622.0,2873650,0.11199233797421108,0.051462466816811145,0.33783481092588385,0.20063276010084885,0.10507275145333747,0.10507275145333747,0.620733244600314,0.13076923076923078,0.13076923076923078,0.13076923076923078,0.13076923076923078
